frame,idx,reflectivity,num,cell,y,x,timestr,hdim_1,hdim_2,threshold_value,feature,time,time_cell
2,3,9.514695167541504,1,6,9354.83870967742,50552.763819095475,2026-02-20 06:29:43,48.0,76.0,9.168228268623352,7,2026-02-20 06:29:43+00:00,0 days 00:00:00
3,7,23.93500328063965,21,6,7829.519361625423,52997.7191351868,2026-02-20 06:34:05,44.217208016831044,82.08182634877717,14.168228268623352,9,2026-02-20 06:34:05+00:00,0 days 00:04:22
4,8,24.249771118164062,31,6,7844.705219647047,54130.12600889227,2026-02-20 06:38:28,44.25486894472467,84.89868844711953,14.168228268623352,12,2026-02-20 06:38:28+00:00,0 days 00:08:45
5,6,23.06095314025879,45,6,7181.446319739876,55230.94926235649,2026-02-20 06:42:52,42.60998687295489,87.63698629011176,14.168228268623352,15,2026-02-20 06:42:52+00:00,0 days 00:13:09
6,6,24.612777709960938,60,6,6799.500932504124,57139.44821653333,2026-02-20 06:47:15,41.662762312610226,92.38437743862666,14.168228268623352,17,2026-02-20 06:47:15+00:00,0 days 00:17:32
7,6,24.850605010986328,81,6,6571.725913413328,58916.25598114701,2026-02-20 06:51:37,41.097880265265054,96.8041867531032,14.168228268623352,19,2026-02-20 06:51:37+00:00,0 days 00:21:54
8,5,22.279056549072266,94,6,6252.69790586608,60061.28091264065,2026-02-20 06:55:49,40.30669080654788,99.6524362701936,14.168228268623352,20,2026-02-20 06:55:49+00:00,0 days 00:26:06
9,5,20.82856559753418,137,6,6084.30891157083,61997.60620492353,2026-02-20 07:00:12,39.88908610069566,104.46904543474729,14.168228268623352,21,2026-02-20 07:00:12+00:00,0 days 00:30:29
10,6,13.909708023071289,154,6,6021.7336218242635,62233.76214974987,2026-02-20 07:04:34,39.73389938212417,105.05648334750279,14.168228268623352,23,2026-02-20 07:04:34+00:00,0 days 00:34:51
11,6,21.25737190246582,99,6,5982.933212630988,63180.136137879956,2026-02-20 07:08:56,39.63767436732485,107.41058864297638,14.168228268623352,25,2026-02-20 07:08:56+00:00,0 days 00:39:13
12,7,22.611366271972656,83,6,5931.838233005641,64121.09384532532,2026-02-20 07:13:18,39.51095881785399,109.75122094024671,14.168228268623352,29,2026-02-20 07:13:18+00:00,0 days 00:43:35
13,10,23.068801879882812,70,6,4899.796527254024,65469.92596613252,2026-02-20 07:17:36,36.95149538758998,113.10644084075463,14.168228268623352,34,2026-02-20 07:17:36+00:00,0 days 00:47:53
14,11,14.622509002685547,31,6,5124.783683103802,68365.64116979492,2026-02-20 07:21:41,37.50946353409743,120.30953240986487,14.168228268623352,40,2026-02-20 07:21:41+00:00,0 days 00:51:58
15,11,16.809001922607422,12,6,5736.036888725569,70743.39813586997,2026-02-20 07:26:16,39.02537148403941,126.22420286297655,14.168228268623352,43,2026-02-20 07:26:16+00:00,0 days 00:56:33
15,12,20.98486328125,2,14,5934.341409817146,52562.81407035176,2026-02-20 07:26:16,39.51716669634652,81.0,14.168228268623352,44,2026-02-20 07:26:16+00:00,0 days 00:00:00
16,6,13.433857917785645,46,6,5036.450836601127,72320.97894022359,2026-02-20 07:31:04,37.29039807477079,130.14843511380616,9.168228268623352,47,2026-02-20 07:31:04+00:00,0 days 01:01:21
16,10,24.01917839050293,20,14,6271.430322638787,54252.87838731789,2026-02-20 07:31:04,40.35314720014419,85.20403498845324,14.168228268623352,48,2026-02-20 07:31:04+00:00,0 days 00:04:48
17,6,11.213147163391113,28,6,5276.987794773761,74280.500015953,2026-02-20 07:35:28,37.886929731038926,135.0227437896831,9.168228268623352,51,2026-02-20 07:35:28+00:00,0 days 01:05:45
17,10,26.108043670654297,41,14,5763.84998498246,56238.06946790608,2026-02-20 07:35:28,39.0943479627565,90.14219780141637,14.168228268623352,53,2026-02-20 07:35:28+00:00,0 days 00:09:12
18,8,13.029829978942871,27,6,5072.433998578197,75357.0232839507,2026-02-20 07:40:06,37.37963631647393,137.70059541882733,9.168228268623352,58,2026-02-20 07:40:06+00:00,0 days 01:10:23
18,11,21.928842544555664,35,14,5070.480027950842,58109.58349495246,2026-02-20 07:40:06,37.374790469318086,94.79758894369422,14.168228268623352,60,2026-02-20 07:40:06+00:00,0 days 00:13:50
19,8,13.094791412353516,35,6,4976.356365457538,76840.03893545913,2026-02-20 07:45:08,37.14136378633469,141.3895968519546,9.168228268623352,64,2026-02-20 07:45:08+00:00,0 days 01:15:25
19,11,23.592403411865234,70,14,4254.955286066869,60543.5853598668,2026-02-20 07:45:08,35.352289109445834,100.85216858266867,14.168228268623352,65,2026-02-20 07:45:08+00:00,0 days 00:18:52
20,9,12.964638710021973,40,6,4826.627738431104,78031.3461228458,2026-02-20 07:49:39,36.77003679130914,144.35297348057892,9.168228268623352,70,2026-02-20 07:49:39+00:00,0 days 01:19:56
20,14,21.415000915527344,58,14,3227.5391651621517,62627.533471676565,2026-02-20 07:49:39,32.80429712960213,106.03598951079546,14.168228268623352,72,2026-02-20 07:49:39+00:00,0 days 00:23:23
21,8,13.591920852661133,40,6,4448.899266865324,79425.8539750554,2026-02-20 07:54:32,35.833270181826,147.8218117629503,9.168228268623352,77,2026-02-20 07:54:32+00:00,0 days 01:24:49
21,11,18.14200210571289,38,14,3429.6670520701623,65149.47568877359,2026-02-20 07:54:32,33.305574289134,112.3093207758243,14.168228268623352,79,2026-02-20 07:54:32+00:00,0 days 00:28:16
22,9,12.199706077575684,24,14,2673.445475837134,68038.42923472097,2026-02-20 07:59:24,31.43014478007609,119.49559272136841,9.168228268623352,84,2026-02-20 07:59:24+00:00,0 days 00:33:08
22,10,13.633426666259766,51,6,4215.426904966784,80876.37579200753,2026-02-20 07:59:24,35.25425872431762,151.42998478261873,9.168228268623352,85,2026-02-20 07:59:24+00:00,0 days 01:29:41
23,1,7.768598556518555,14,14,1396.0698778617223,71321.07384182859,2026-02-20 08:04:26,28.262253297097068,127.66117118154862,4.168228268623352,88,2026-02-20 08:04:26+00:00,0 days 00:38:10
23,9,10.950544357299805,22,6,4030.2687323003142,82583.1329167066,2026-02-20 08:04:26,34.79506645610478,155.67554313030766,9.168228268623352,91,2026-02-20 08:04:26+00:00,0 days 01:34:43
24,1,6.401120185852051,24,14,401.1340376688412,73544.43488656853,2026-02-20 08:09:17,25.794812413418725,133.1917817803392,4.168228268623352,96,2026-02-20 08:09:17+00:00,0 days 00:43:01
24,7,10.5,1,28,6129.032258064517,49346.73366834171,2026-02-20 08:09:17,40.0,73.0,4.168228268623352,99,2026-02-20 08:09:17+00:00,0 days 00:00:00
25,10,10.386439323425293,15,14,-2847.9206406599933,75937.00424805027,2026-02-20 08:14:32,17.737156811163217,139.14329806702506,9.168228268623352,110,2026-02-20 08:14:32+00:00,0 days 00:48:16
25,15,15.543693542480469,2,28,6129.032258064517,52292.285297529255,2026-02-20 08:14:32,40.0,80.32705967760403,14.168228268623352,112,2026-02-20 08:14:32+00:00,0 days 00:05:15
26,8,13.78549861907959,26,14,-2938.551774086997,78506.5703584115,2026-02-20 08:19:24,17.512391600264248,145.53509376654858,9.168228268623352,117,2026-02-20 08:19:24+00:00,0 days 00:53:08
26,14,17.472021102905273,6,28,6015.847044355772,53629.758972830285,2026-02-20 08:19:24,39.71930067000231,83.65402544491533,14.168228268623352,120,2026-02-20 08:19:24+00:00,0 days 00:10:07
27,11,12.112486839294434,27,14,-4136.1041133675435,79584.90766470373,2026-02-20 08:24:26,14.54246179884849,148.21745781595052,9.168228268623352,125,2026-02-20 08:24:26+00:00,0 days 00:58:10
27,19,14.760234832763672,5,28,5587.940462756384,55237.589698298354,2026-02-20 08:24:26,38.65809234763583,87.65350437451715,14.168228268623352,129,2026-02-20 08:24:26+00:00,0 days 00:15:09
28,8,10.007036209106445,5,14,-4805.66033495811,81180.64829583172,2026-02-20 08:29:17,12.881962369303887,152.1868626358814,9.168228268623352,131,2026-02-20 08:29:17+00:00,0 days 01:03:01
28,16,16.183521270751953,6,28,5034.240405418575,57659.15055883648,2026-02-20 08:29:17,37.284916205438066,93.67713701510574,14.168228268623352,135,2026-02-20 08:29:17+00:00,0 days 00:20:00
29,13,11.079412460327148,2,14,-6185.822373035499,82496.1449306018,2026-02-20 08:34:09,9.459160514871963,155.45916051487197,9.168228268623352,140,2026-02-20 08:34:09+00:00,0 days 01:07:53
29,27,17.196928024291992,11,28,5931.897302187468,58392.70252613893,2026-02-20 08:34:09,39.51110530942492,95.50184753377057,14.168228268623352,150,2026-02-20 08:34:09+00:00,0 days 00:24:52
30,23,18.897804260253906,2,28,6306.776822524832,58190.95477386935,2026-02-20 08:39:11,40.44080651986158,95.0,14.168228268623352,163,2026-02-20 08:39:11+00:00,0 days 00:29:54
